epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.811,1.8561,3.13685,1.56208,0.00405,0.56567,0.02795,0.01184,1.68468,10.4292,1.43807,0.000162162,0.000162162,0.0677297
2,326.951,1.97619,2.36756,1.6259,0.02643,0.3,0.09542,0.04472,1.55407,3.93833,1.34046,0.000322318,0.000322318,0.0345566
3,487.669,1.78625,1.95804,1.55669,0.6216,0.4194,0.4854,0.24409,1.30102,2.86001,1.13216,0.000475874,0.000475874,0.00137677
4,655.731,1.74899,1.80027,1.50116,0.61678,0.45641,0.49614,0.24151,1.29057,2.58764,1.10676,0.0004703,0.0004703,0.0004703
5,829.582,1.74807,1.84304,1.5245,0.54469,0.45821,0.51218,0.26808,1.24481,4.21564,1.08811,0.0004604,0.0004604,0.0004604
6,994.233,1.70481,1.68908,1.4827,0.62222,0.56866,0.59126,0.2886,1.25934,3.38631,1.10981,0.0004505,0.0004505,0.0004505
7,1181.7,1.70698,1.61972,1.47294,0.69694,0.69701,0.71401,0.35634,1.26106,3.01606,1.09315,0.0004406,0.0004406,0.0004406
8,1337.12,1.6395,1.53229,1.44087,0.64995,0.6403,0.67562,0.31877,1.28052,3.64223,1.10664,0.0004307,0.0004307,0.0004307
9,1499.06,1.63757,1.53568,1.4562,0.65518,0.68657,0.7052,0.33865,1.23186,3.38841,1.11617,0.0004208,0.0004208,0.0004208
10,1723.27,1.57888,1.5445,1.45931,0.72214,0.59738,0.68581,0.34404,1.22644,2.36577,1.06462,0.0004109,0.0004109,0.0004109
11,1925.73,1.61178,1.43779,1.42087,0.78343,0.6791,0.76634,0.40679,1.19042,2.73889,1.04056,0.000401,0.000401,0.000401
12,2135.44,1.55592,1.39631,1.42118,0.78831,0.72256,0.78585,0.4171,1.18893,1.88821,1.06594,0.0003911,0.0003911,0.0003911
13,2375.96,1.60485,1.36331,1.41171,0.82227,0.73582,0.80279,0.43509,1.1399,1.69463,1.01619,0.0003812,0.0003812,0.0003812
14,2591.01,1.54139,1.27155,1.37,0.78334,0.78788,0.81761,0.45566,1.1255,1.82033,1.01846,0.0003713,0.0003713,0.0003713
15,2796.88,1.52968,1.25569,1.38878,0.78942,0.72177,0.79611,0.4349,1.21697,2.08987,1.10547,0.0003614,0.0003614,0.0003614
16,3005.48,1.47743,1.20019,1.34996,0.81098,0.82388,0.85003,0.46869,1.14942,2.10365,1.0185,0.0003515,0.0003515,0.0003515
17,3213.85,1.50396,1.24236,1.36149,0.80853,0.79701,0.83993,0.48963,1.08781,2.30293,0.98677,0.0003416,0.0003416,0.0003416
18,3415.13,1.49941,1.23466,1.34965,0.83436,0.80442,0.8512,0.47316,1.07649,2.95413,0.98103,0.0003317,0.0003317,0.0003317
19,3622.3,1.45437,1.18012,1.32985,0.81085,0.7597,0.8385,0.47649,1.07932,2.54917,0.96126,0.0003218,0.0003218,0.0003218
20,3793.55,1.48524,1.17142,1.34014,0.88062,0.8194,0.88842,0.51158,1.05437,1.67363,0.95658,0.0003119,0.0003119,0.0003119
21,3946.81,1.45368,1.27006,1.33088,0.83231,0.79267,0.86151,0.47711,1.10635,1.69722,1.00216,0.000302,0.000302,0.000302
22,4109.53,1.46418,1.17689,1.37235,0.87688,0.82918,0.88704,0.55042,0.99733,1.73269,0.95427,0.0002921,0.0002921,0.0002921
23,4259.83,1.36947,1.09976,1.29426,0.84125,0.8305,0.87896,0.51281,1.00309,1.22912,0.93717,0.0002822,0.0002822,0.0002822
24,4772.7,1.44113,1.0867,1.30485,0.8964,0.84627,0.9022,0.55346,0.99417,1.18815,0.9296,0.0002723,0.0002723,0.0002723
25,4931.05,1.4068,1.0929,1.31133,0.88607,0.83574,0.89921,0.53815,1.01642,1.2023,0.93321,0.0002624,0.0002624,0.0002624
26,5117.22,1.33562,1.06464,1.26326,0.9112,0.83134,0.90607,0.55493,0.97647,1.33394,0.9233,0.0002525,0.0002525,0.0002525
27,5280.02,1.36817,1.07298,1.29818,0.88659,0.84478,0.905,0.57323,0.97023,1.31548,0.92131,0.0002426,0.0002426,0.0002426
28,5532.86,1.368,1.04749,1.28668,0.89071,0.82239,0.90155,0.54578,0.98859,1.44232,0.9301,0.0002327,0.0002327,0.0002327
29,5684.31,1.35874,1.01295,1.27353,0.86396,0.84362,0.90201,0.57792,0.93306,1.45569,0.90093,0.0002228,0.0002228,0.0002228
30,9384.4,1.31172,0.98357,1.26247,0.89817,0.85672,0.91036,0.57909,0.94163,1.23935,0.91458,0.0002129,0.0002129,0.0002129
31,9567.04,1.33606,0.9931,1.23247,0.91193,0.86119,0.91454,0.56844,0.97907,1.16272,0.91839,0.000203,0.000203,0.000203
32,9729.56,1.30806,0.98604,1.26733,0.90233,0.86866,0.91578,0.60741,0.8973,1.17183,0.88134,0.0001931,0.0001931,0.0001931
33,9886.61,1.25678,1.04816,1.26156,0.91074,0.85278,0.9177,0.5992,0.92625,1.34924,0.88839,0.0001832,0.0001832,0.0001832
34,10053.1,1.30683,0.96525,1.22776,0.91741,0.87612,0.92342,0.61396,0.88767,1.24708,0.8798,0.0001733,0.0001733,0.0001733
35,10214.8,1.26443,1.04677,1.26158,0.91721,0.87633,0.92725,0.60667,0.91498,1.04991,0.89595,0.0001634,0.0001634,0.0001634
36,10375.8,1.28807,0.95094,1.23037,0.88752,0.87147,0.91813,0.58829,0.91715,0.97782,0.88601,0.0001535,0.0001535,0.0001535
37,10540,1.22771,1.42274,1.18457,0.9197,0.88657,0.93711,0.61762,0.89315,1.01134,0.87808,0.0001436,0.0001436,0.0001436
38,10702.9,1.20295,0.91869,1.20558,0.91425,0.89254,0.93753,0.61715,0.88695,1.06094,0.87166,0.0001337,0.0001337,0.0001337
39,10863.7,1.23022,0.95105,1.25378,0.91851,0.89162,0.94144,0.63604,0.86467,0.97832,0.86037,0.0001238,0.0001238,0.0001238
40,11023.7,1.22389,0.8941,1.19838,0.94169,0.87612,0.94318,0.6373,0.85166,0.94446,0.85314,0.0001139,0.0001139,0.0001139
41,11180.1,1.14404,0.81559,1.1712,0.914,0.8806,0.93847,0.61849,0.84696,1.19649,0.84987,0.000104,0.000104,0.000104
42,11337.5,1.098,0.73618,1.12798,0.94155,0.88964,0.94901,0.64709,0.82322,1.34146,0.84437,9.41e-05,9.41e-05,9.41e-05
43,11575.1,1.12898,0.74695,1.13338,0.93249,0.90597,0.94686,0.6573,0.80073,1.32172,0.8392,8.42e-05,8.42e-05,8.42e-05
44,11732.3,1.04871,0.75444,1.07685,0.93468,0.89552,0.94584,0.64917,0.80453,1.30993,0.84255,7.43e-05,7.43e-05,7.43e-05
45,11997.7,1.06517,0.7107,1.12507,0.94181,0.89104,0.94964,0.6509,0.80503,1.20626,0.83385,6.44e-05,6.44e-05,6.44e-05
46,12454,1.01837,0.66852,1.07899,0.91881,0.9194,0.95163,0.66441,0.79161,1.12215,0.82818,5.45e-05,5.45e-05,5.45e-05
47,12771.6,1.00161,0.69486,1.06737,0.92301,0.91791,0.95343,0.65416,0.82541,1.07109,0.84037,4.46e-05,4.46e-05,4.46e-05
48,13218.2,0.99031,0.66238,1.07886,0.94085,0.90597,0.95686,0.67133,0.79164,1.04337,0.82468,3.47e-05,3.47e-05,3.47e-05
49,13406.8,1.04389,0.6809,1.0962,0.94257,0.90448,0.95987,0.67567,0.78206,1.0327,0.81887,2.48e-05,2.48e-05,2.48e-05
50,13587.8,1.00127,0.65353,1.07021,0.93674,0.90612,0.95875,0.67476,0.79253,1.033,0.82192,1.49e-05,1.49e-05,1.49e-05
